A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
14 	N      	7  	7  	0.0000  	1+            	2.86341675          	1.9E-7    	STABLE                   	infinity                 	99.63     	        	        	            
15 	N      	7  	8  	0.0000  	1/2-          	0.1014387           	6.0E-7    	STABLE                   	infinity                 	0.364%    	0.02    	        	            
16 	N      	7  	9  	0.0000  	2-            	5.6839              	0.0023    	7.13 S 0.02              	7.13                     	          	        	BA      	1.2E-3      
16 	N      	7  	9  	0.0000  	2-            	5.6839              	0.0023    	7.13 S 0.02              	7.13                     	          	        	B-      	100.00      
17 	N      	7  	10 	0.0000  	1/2-          	7.87                	0.015     	4171 MS 4                	4.171                    	          	        	B-      	100.00      
17 	N      	7  	10 	0.0000  	1/2-          	7.87                	0.015     	4171 MS 4                	4.171                    	          	        	BA      	0.00        
17 	N      	7  	10 	0.0000  	1/2-          	7.87                	0.015     	4171 MS 4                	4.171                    	          	        	BN      	95.10       
18 	N      	7  	11 	0.0000  	1-            	13.113              	0.019     	619 MS 2                 	0.619                    	          	        	BA      	12.20       
18 	N      	7  	11 	0.0000  	1-            	13.113              	0.019     	619 MS 2                 	0.619                    	          	        	BN      	10.90       
18 	N      	7  	11 	0.0000  	1-            	13.113              	0.019     	619 MS 2                 	0.619                    	          	        	B2N     	?           
18 	N      	7  	11 	0.0000  	1-            	13.113              	0.019     	619 MS 2                 	0.619                    	          	        	B-      	100.00      
19 	N      	7  	12 	0.0000  	              	15.856              	0.016     	336 MS 3                 	0.336                    	          	        	BN      	41.80       
19 	N      	7  	12 	0.0000  	              	15.856              	0.016     	336 MS 3                 	0.336                    	          	        	B2N     	?           
19 	N      	7  	12 	0.0000  	              	15.856              	0.016     	336 MS 3                 	0.336                    	          	        	B-      	100.00      
20 	N      	7  	13 	0.0000  	-             	21.77               	0.08      	136 MS 3                 	0.136                    	          	        	B-      	100.00      
20 	N      	7  	13 	0.0000  	-             	21.77               	0.08      	136 MS 3                 	0.136                    	          	        	BN      	42.90       
20 	N      	7  	13 	0.0000  	-             	21.77               	0.08      	136 MS 3                 	0.136                    	          	        	B2N     	?           
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	0.13      	84.8 MS 6.7              	0.0848                   	          	        	B-      	100.00      
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	0.13      	84.8 MS 6.7              	0.0848                   	          	        	BN      	86.00       
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	0.13      	84.8 MS 6.7              	0.0848                   	          	        	B2N     	?           
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	0.13      	84.8 MS 6.7              	0.0848                   	          	        	B3N     	?           
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	0.21      	19.5 MS 2                	0.0195                   	          	        	BN      	34.00       
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	0.21      	19.5 MS 2                	0.0195                   	          	        	B2N     	12.00       
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	0.21      	19.5 MS 2                	0.0195                   	          	        	B3N     	?           
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	0.21      	19.5 MS 2                	0.0195                   	          	        	B-      	100.00      
23 	N      	7  	16 	0.0000  	              	36.7                	0.4       	14.1 MS +1.2-1.3         	0.0141                   	          	        	BN      	42.20       
23 	N      	7  	16 	0.0000  	              	36.7                	0.4       	14.1 MS +1.2-1.3         	0.0141                   	          	        	B2N     	8.00        
23 	N      	7  	16 	0.0000  	              	36.7                	0.4       	14.1 MS +1.2-1.3         	0.0141                   	          	        	B3N     	< 3.40      
23 	N      	7  	16 	0.0000  	              	36.7                	0.4       	14.1 MS +1.2-1.3         	0.0141                   	          	        	B-      	100.00      
24 	N      	7  	17 	0.0000  	              	46.9                	0.4       	52 NS LT                 	5.2E-8                   	          	        	N       	?           
25 	N      	7  	18 	        	              	56.0                	0.5       	                         	                         	          	        	        	            
12 	O      	8  	4  	0.0000  	0+            	31.915              	0.024     	0.40 MEV 0.25            	1.139E-21                	          	        	P       	            
13 	O      	8  	5  	0.0000  	(3/2-)        	23.115              	0.01      	8.58 MS 0.05             	0.00858                  	          	        	EC      	100.00      
13 	O      	8  	5  	0.0000  	(3/2-)        	23.115              	0.01      	8.58 MS 0.05             	0.00858                  	          	        	EP      	11.30       
14 	O      	8  	6  	0.0000  	0+            	8.00778             	3.0E-5    	70.620 S 0.015           	70.62                    	          	        	EC      	100.00      
15 	O      	8  	7  	0.0000  	1/2-          	2.8556              	5.0E-4    	122.24 S 0.16            	122.24                   	          	        	EC      	100.00      
16 	O      	8  	8  	0.0000  	0+            	-4.73700146         	1.6E-7    	STABLE                   	infinity                 	99.757%   	0.016   	        	            
17 	O      	8  	9  	0.0000  	5/2+          	-0.8087635          	7.0E-7    	STABLE                   	infinity                 	0.038%    	0.001   	        	            
18 	O      	8  	10 	0.0000  	0+            	-0.7828156          	7.0E-7    	STABLE                   	infinity                 	0.205%    	0.014   	        	            
19 	O      	8  	11 	0.0000  	5/2+          	3.333               	0.003     	26.88 S 0.05             	26.88                    	          	        	B-      	100.00      
20 	O      	8  	12 	0.0000  	0+            	3.7962              	9.0E-4    	13.51 S 0.05             	13.51                    	          	        	B-      	100.00      
